 33880|Singanayakana Halli, Yelahanka Post|Gantiganahalli|560064|Opposite Gantiganahalli Bus Stop||No Painted Compound & No Play Ground|G.K.L.P.S Gantiganahalli In Side|285 A|10281|10282|
 33876|Singanayakanhalli Post, Yelanka Hobli|Nagenahalli|560064|Opposite Nagenahalli Gate Bus Stop Road||Cream Colour Building, Playground|Inside G.K.H.P.S Nagenahalli|285 A|10289|10290|
 33821|Kakolu post hesaragatta hobli|kakolu|560089|Kakolu bus stop right stop||no compound  no play ground|White Colour Bilding|285 L 406.409|10251|10252|
 33816|Byatha Post, Hesaraghatta Hobli|Kamakshipura|560089|Opposite Kamakshipura Bus Stop|Anjaneya Temple Compound|Cream Colour Building|Small Playground, No Painted Compound|285 L, 406, 409|10233|10234|
 33812|Rajana kunty post hesara gatta hobli|Madappana Halli|560089||GKLPS Madappana Halli|Crim colour compound|Cream Colour Building|285 D H|10258|10259|10260
 31536|Kakolu Post, Hesaraghatta Hobli|Sethakammanahalli|560089|Behind Seethakammanahali Bus Stop|Behind Anjaneya Temple|Cream Colour Building||285 Y Last Stop|10979|10980|10981
 31534|Byatha Post, Hesaraghatta Hobli|Karlapurapalya|560089|Opposite Karlapurapalya Ashwath Katte Road||Behind G.K.L.P.S Karlapurapalya|White Colour Compound, No Playground|251 M|10237|10238|
 31279|Sonnenahalli Post, Hesarghatta Hobli|Challahalli|560089|Near Challahalli Bus Stop|Opposite Venugopal Swamy Temple|No Painted Compound, Playground|Cream Colour Building|285 RA|10205|10206|
 31269|Signayakanahalli Post, Yalahanka Hobli|Avalahalli|560064|Opposite Avalahalli Bus Stop Road|Ashwath Katte|Inside G.K.L.P.S|Cream Colour Building, No Playground, White Colour Comound|285 M, 285 E, 285 F, 285 G, 285 H|10219|10220|
 31262|Rajankunte Post, Yelahanka Hobli|Honnenahalli|560064|Opposite G.K.L.P.S Honnenahalli|Opposite Honnenahalli Bus Stop Road|No Painted Compound, No Playground|Whtie Colour Building|285 C, 255 E, 285 F, 285 G, 285 M|10267|10268|
 31225|Byatha Post, Hesaraghatta Hobli|Bytha|560089|Behind G.K.M.P.S|Byatha Ashwath Katte|Cream Colour Building|No Compound, No Playground|285 L, 406, 409|10229|10230|
 31250|Sonnenahalli Post, Hesaraghatta Hobli|Bytha|560089|Near Byatha Bus Stop Leftside Road|Behind Ashwath Katte|Orginal Compound|Inside G.K.M.P.S|285 L, 406, 409|10227|10228|
 31217|Dodda Tumkur Post, Hesaraghatta Hobli|Channsandra(Yelahanka-2)||||No Compound, Playground|Orange Colour Building|285 RA|10217|10218|
 31213|Sonnenahalli Post, Hesarghatta Hobli|Haniyur|560089|Opposite Haniyur Bus Stop|Anjaneya Temple|Anjaneya Temple Compound||285 RA, 404|10207|10208|
 30732|Rajankunte Post, Yelahanka Hobli|Nagadasanahalli|560064|Opposite Nagadasanahalli Bus Stop|Cream Colour Compound, No Playground|Cream Colour Building||285|10269|10270|
 30724|Byatha Post, Hesaraghatta Hobli|Karlapurapalya|560089|Opposite Karlapurapalya Ashwath Katte Road||Behind G.K.L.P.S Karlapurapalya|White Colour Compound, No Playground|251 M|10237|10238|
 30718|Byatha post Hesaragatta  Hobli|sonnena halli|560089|sonnena halli bus stop Right side||no compound no paly ground|crem colur bulding|285L. 406. 409|10245|10246|
